order_id,date,product,price,qty,zip
1254,2026-04-06,mug,11.36,4,60614
1057,2026-05-30,charger,14.79,3,30303
1150,2026-05-06,mug,5.5,1,10001
1066,2026-05-30,notebook,37.53,1,98101
1114,2026-04-06,webcam,45.59,4,90405
1280,2026-04-22,pen set,37.53,4,30303
1204,2026-04-18,charger,8.41,2,02134
1249,2026-05-15,keyboard,75.04,4,90405
1037,2026-05-19,mug,9.31,2,60614
1177,2026-05-13,mug,10.11,3,90210
1081,2026-04-18,webcam,140.93,5,10001
1237,2026-05-17,monitor,154.27,4,60614
1269,2026-04-06,backpack,41.46,1,30303
1108,2026-05-16,desk lamp,21.63,5,02116
1273,2026-05-21,notebook,8.69,3,98101
1220,2026-05-03,monitor,228.63,4,30303
1003,2026-04-11,keyboard,61.22,3,30303
1080,2026-05-16,monitor,169.09,2,60614
1169,2026-05-04,keyboard,40.71,1,90405
1179,2026-05-10,desk lamp,38.3,5,90210
1091,2026-05-30,keyboard,50.9,2,60614
1090,2026-05-01,keyboard,53.07,1,02116
1193,2026-04-24,webcam,66.17,5,90210
1276,2026-05-14,mug,7.64,3,30303
1074,2026-04-30,headphones,46.25,2,02134
1011,2026-05-18,webcam,80.64,2,90210
1147,2026-05-01,headphones,36.37,5,02134
1102,2026-04-27,desk lamp,21.07,2,10001
1065,2026-05-14,mug,13.34,1,98101
1104,2026-04-27,headphones,52.59,2,10001
1088,2026-04-28,pen set,37.53,2,02134
1014,2026-05-17,charger,18.14,4,98101
1141,2026-05-29,desk lamp,31.2,1,30303
1160,2026-04-09,desk lamp,47.28,3,90210
1164,2026-05-28,headphones,146.46,4,60614
1279,2026-05-10,webcam,72.49,1,10001
1002,2026-05-01,mug,7.16,4,90210
1148,2026-04-14,notebook,7.08,4,30303
1055,2026-04-28,headphones,44.26,2,98101
1168,2026-05-23,notebook,7.57,1,98101
1282,2026-04-21,webcam,43.28,5,10001
1238,2026-05-27,webcam,90.7,3,30303
1288,2026-05-30,monitor,348.68,1,10001
1113,2026-04-27,pen set,15.27,5,98101
1101,2026-05-12,keyboard,37.53,3,02116
1207,2026-04-14,notebook,9.37,4,60614
1138,2026-05-25,notebook,7.2,5,02134
1163,2026-04-12,desk lamp,34.83,4,10001
1060,2026-04-07,keyboard,43.17,5,60614
1199,2026-04-18,charger,37.53,5,30303
1018,2026-05-04,monitor,37.53,4,10001
1243,2026-04-30,monitor,217.65,2,10001
1070,2026-04-26,webcam,42.43,4,90210
1289,2026-05-08,keyboard,43.55,4,10001
1278,2026-04-26,notebook,6.56,4,10001
1170,2026-04-04,monitor,37.53,1,02116
1230,2026-04-02,desk lamp,26.4,3,90405
1258,2026-05-29,desk lamp,16.82,5,60614
1217,2026-05-13,mug,6.94,5,60614
1171,2026-05-13,webcam,32.38,1,98101
1022,2026-05-07,notebook,7.92,3,02134
1231,2026-04-11,keyboard,60.29,2,90210
1264,2026-05-20,keyboard,82.42,4,90405
1246,2026-04-25,desk lamp,13.89,3,10001
1132,2026-05-01,backpack,44.32,3,30303
1262,2026-05-15,keyboard,50.7,1,90405
1188,2026-05-26,mug,10.09,3,98101
1094,2026-04-17,charger,17.17,3,02134
1118,2026-04-15,webcam,114.44,4,60614
1086,2026-04-20,backpack,69.59,1,90405
1287,2026-04-26,headphones,97.24,1,02116
1248,2026-05-25,desk lamp,10.8,2,10001
1111,2026-05-05,charger,28.37,1,02134
1172,2026-04-15,monitor,244.86,2,60614
1084,2026-05-21,desk lamp,16.35,2,98101
1222,2026-04-04,pen set,4.91,3,10001
1024,2026-05-20,webcam,43.72,5,02134
1126,2026-05-07,webcam,69.77,5,10001
1062,2026-05-15,monitor,207.98,2,02116
